game,winner,turns
,,
1,Human,92
,,
2,Random,108
,,
3,Human,110
,,
4,Human,84
,,
5,Human,63
,,
6,Human,47
,,
7,Human,113
,,
8,Human,131
,,
9,Random,96
,,
10,Human,91
