game,winner,turns
,,
1,Human,103
,,
2,Human,85
,,
3,Human,44
,,
4,Human,92
,,
5,Human,77
,,
6,Minimax,104
,,
7,Human,88
,,
8,Human,90
,,
9,Human,75
,,
10,Human,52
